Titre;Titre VO;Titre VF;Support;Etat;Heures de jeu;Date de début;Date de fin;Possédé;Date sortie EU;Date sortie US;Date sortie JP;Editeur;Développeur;Note perso;Moyenne des votes;Nombre de votes;Genre 1;Genre 2
Age of Empires;Age of Empires;;PC;Fini;0;;;POSSEDE;02/02/1998;15/10/1997;;Microsoft Games;Ensemble Studios;17.0;15.6429;84.0;RTS;
Age of Empires II : The Age of Kings;Age of Empires II : The Age of Kings;;PC;Fini;15;;;POSSEDE;30/09/1999;;;Microsoft Games;Ensemble Studios;18.0;16.7267;150.0;RTS;
Age of Empires III;Age of Empires III;;PC;Fini;0;;;POSSEDE;04/11/2005;18/10/2005;27/01/2006;Microsoft Games;Ensemble Studios;16.0;15.5288;104.0;RTS;
Age of Empires: Definitive Edition;Age of Empires: Definitive Edition;;PC;En cours;1;;;POSSEDE;20/02/2018;20/02/2018;20/02/2018;Forgotten Empires;Microsoft Game Studios;;14.3333;9.0;RTS;
Alan Wake;Alan Wake;;PC;En pause;0;;;POSSEDE;14/05/2010;18/05/2010;23/05/2010;Microsoft Games;Remedy Entertainment;;15.463;54.0;Action/Aventure;
Animal Crossing: New Horizons;Animal Crossing: New Horizons;;Nintendo Switch;Joué;20;;;POSSEDE;20/03/2020;20/03/2020;20/03/2020;Nintendo;Nintendo EPD;16.0;17.1532;248.0;Simulation de vie;
Animal Crossing: New Leaf;Animal Crossing: New Leaf;;Nintendo 3DS;Joué;17;;;POSSEDE;14/06/2013;;08/11/2012;Nintendo;Nintendo;15.0;17.0429;163.0;Gestion;
Anno 1404;Anno 1404;;PC;En pause;0;;;POSSEDE;25/06/2009;25/06/2009;;Ubisoft;Related Designs;;16.3125;32.0;RTS;
Assassin's Creed;Assassin's Creed;;Xbox 360;Fini;0;;;POSSEDE;15/11/2007;13/11/2007;29/11/2007;Ubisoft;Ubisoft Montréal;16.0;16.0885;113.0;Action/Aventure;
Assassin's Creed II;Assassin's Creed II;;Xbox 360;Fini;0;;;POSSEDE;19/11/2009;17/11/2009;03/12/2009;Ubisoft;Ubisoft Montréal;17.0;17.0786;140.0;Action/Aventure;Infiltration
Assassin's Creed III;Assassin's Creed III;;Xbox 360;Fini;0;;;POSSEDE;30/10/2012;30/10/2012;15/11/2012;Ubisoft;Ubisoft Montréal;15.0;15.7699;113.0;Action/Aventure;Infiltration
Assassin's Creed IV: Black Flag;Assassin's Creed IV: Black Flag;;PC;En cours;3;;;POSSEDE;21/11/2013;29/10/2013;28/11/2018;Ubisoft;Ubisoft Montréal;;16.2453;106.0;Action/Aventure;
Assassin's Creed IV: Black Flag;Assassin's Creed IV: Black Flag;;PC;En cours;3;;;POSSEDE;21/11/2013;29/10/2013;28/11/2018;Ubisoft;Ubisoft Kiev;;16.2453;106.0;Action/Aventure;
Assassin's Creed Origins;Assassin's Creed Origins;;PC;En cours;2;;;POSSEDE;27/10/2017;27/10/2017;27/10/2017;Ubisoft Montreal;Ubisoft;;16.5267;131.0;Action-RPG;Aventure
Assassin's Creed: Brotherhood;Assassin's Creed: Brotherhood;;Xbox 360;Fini;0;;;POSSEDE;18/11/2010;16/11/2010;09/12/2010;Ubisoft;Ubisoft Montréal;16.0;16.5895;95.0;Action/Aventure;
Assassin's Creed: Revelations;Assassin's Creed: Revelations;;Xbox 360;Fini;0;;;POSSEDE;15/11/2011;15/11/2011;01/12/2011;Ubisoft;Ubisoft Montréal;15.0;15.8438;64.0;Action/Aventure;
Asterix;Asterix;;Playstation;Fini;0;;;POSSEDE;;;;Infogrames;Sourcery;16.0;14.2;20.0;Action;Stratégie
Astérix;Astérix;;Super Nintendo;Fini;0;;;POSSEDE;;;;Infogrames;Infogrames;16.0;13.7143;14.0;Action;Plates-Formes
Baten Kaitos;Baten Kaitos;;GameCube;Fini;127;;;POSSEDE;01/04/2005;;;Namco;Monolith Soft;19.0;17.5625;32.0;RPG;
Baten Kaitos Origins;Baten Kaitos Origins;;GameCube;Fini;0;;;POSSEDE;;23/02/2006;;Nintendo;Monolith Soft;19.0;18.25;4.0;RPG;
Batman: Arkham Asylum;Batman: Arkham Asylum;;Xbox 360;Fini;0;;;POSSEDE;28/08/2009;25/08/2009;14/01/2001;Eidos Interactive;Rocksteady Studios;18.0;17.5229;109.0;Beat'em All;Action/Aventure
Batman: Arkham City;Batman: Arkham City;;Xbox 360;Fini;0;;;POSSEDE;20/10/2011;18/10/2011;23/11/2011;Warner Bros Games;Rocksteady Studios;16.0;17.5156;64.0;Beat'em All;Action/Aventure
Batman: Arkham Origins;Batman: Arkham Origins;;PC;En cours;0;;;POSSEDE;25/10/2013;25/10/2013;05/12/2013;Warner Bros. Interactive Entertainment;Warner Bros Games Montréal;;15.2982;57.0;Action/Aventure;
Beyond: Two Souls;Beyond: Two Souls;;PC;Fini;9;2025-12-01;2025-12-17;POSSEDE;22/07/2019;22/07/2019;;Sony Computer Entertainment;Quantic Dream;17.0;16.5349;43.0;Aventure Narrative;
Blue Dragon;Blue Dragon;;Xbox 360;Joué;0;;;POSSEDE;27/06/2007;;07/12/2006;Microsoft Games;Mistwalker;13.0;14.4;10.0;RPG;
Bravely Default;Bravely Default;;Nintendo 3DS;Joué;53;;;POSSEDE;06/12/2013;;11/10/2012;Square Enix;Silicon Studio;;17.3514;37.0;RPG;
Bravely Default II;Bravely Default II;;Nintendo Switch;Wishé;0;;;SOUHAITE ACHETER;26/02/2021;26/02/2021;26/02/2021;Square Enix;Square Enix;;14.25;8.0;RPG;
